study	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y	y_unit	comments
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	104.036697247706	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.297435897435898	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	104.036697247706	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.194871794871795	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	105.137614678899	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.348717948717948	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	108.807339449541	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.297435897435898	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	109.908256880733	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.461538461538461	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	111.009174311926	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.471794871794872	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	111.009174311926	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.748717948717948	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	111.743119266055	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.492307692307693	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	112.110091743119	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.584615384615385	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	113.577981651376	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.492307692307693	l/hr	NA
